text,v2_Custom-trained_Spacy_Person,v2_Custom-trained_Spacy_Location,Pre-trained_Spacy_Person,Pre-trained_Spacy_Location
"stehend. Heute haben wir in New-York 5 Frauengesellschaften,",[],['New-York'],[],['New-York']
"und ich glaube nicht, dass es in den ganzen Vereinigten Staaten",[],['Vereinigten Staaten'],[],['Vereinigten Staaten']
"eine einzige Stadt gibt, in der keine solche Frauengesellschaft",[],[],[],[]
—,[],[],[],[]
49 —,[],[],[],[]
bestände. Ich kann bloss von der Umgebung von New-York,[],['New-York'],[],[]
"sprechen. In Brooklyn, Jersey, Baltimore, Philadelphia und",[],"['Brooklyn', 'Jersey', 'Baltimore', 'Philadelphia']",[],"['Brooklyn, Jersey, Baltimore, Philadelphia']"
"Washington, überall nehmen die Frauen an der zionistischen",['Washington'],[],[],[]
Bewegung theil. Und wie könnte es anders sein? Ist es nicht,[],[],[],[]
"unsere Pflicht, die Pflicht der Frauen Israels, mitzuarbeiten an der",[],['Israels'],[],[]
"Restaurierung des jüdischen Volkes? Ist es nicht unsere Pflicht,",[],[],[],[]
an unsere Kinder zu denken?,[],[],[],[]
Ich will noch weiter gehen. Ich würde sagen: Es ist unsere,[],[],[],[]
"Pflicht, dass, so lange nur noch ein Jude in Sclaverei sich befindet",[],[],[],[]
"und leidet, wir uns alle noch als Sclaven betrachten sollen. Denn",['leidet'],['Sclaven'],[],[]
wir leiden alle mit ihnen. Darum haben wir Frauen Amerikas,[],[],[],[]
die Interessen des Zionismus zu unserer Herzenssache gemacht.,[],[],[],[]
"Und wir thun das Menschenmöglichste, um diese Realisierung des",[],[],[],[]
zionistischen Ideals durchzuführen. Die Schwierigkeiten sind gross,[],[],[],[]
und ich brauche es Ihnen nicht erst zu sagen. Prof. Gottheil hat,['Prof. Gottheil'],[],['Gottheil'],[]
es Ihnen gerade mitgetheilt. Aber unsere Bestrebungen haben,[],[],[],[]
sich trotzdem nicht einen Augenblick verlangsamt und ich kann,[],[],[],[]
"sagen, dass heute der Zionismus in Amerika geachtet ist.",[],['Amerika'],[],['Amerika']
"(Stürmischer Beifall.) Ich muss Ihnen übrigens sagen, dass die",[],[],[],[]
"intelligenten Frauen, gestatten Sie mir diesen Ausdruck, in Amerika",[],['Amerika'],[],[]
durchwegs Zionistinnen sind. (Stürmischer Beifall.) Ganz besonders,[],[],[],[]
"beglückwünschen wir uns, dass in New-York, in der ältesten",[],['New-York'],[],[]
"Congregation, eine zionistische Vereinigung zustande gebracht",[],[],[],[]
"wurde, nämlich in der portugiesischen Synagoge. Hier haben wir",[],[],[],['portugiesischen Synagoge']
"wohl eine gemischte Gesellschaft, aber die Frauen in dieser",[],[],[],[]
Gesellschaft sind Zionistinnen von ganzem Herzen (Stürmischer,[],[],[],[]
Beifall) und wenn wir es auch in diesem Augenblick zu keinem,[],[],[],[]
"grossen Resultate gebracht haben, in dem nächsten Jahre hoffe",[],[],[],[]
"ich ein besseres mittheilen zu können, wenn ich wieder hieher",[],[],[],[]
komme.,[],[],[],[]
Und nun noch eines. Bei der Banksubscription sind in,[],[],[],[]
Amerika die eifrigsten Theilnehmer die Frauen gewesen. Es ist,[],"['Amerika', 'Theilnehmer']",[],['Amerika']
"mir eine angenehme Pflicht, den Namen einer solchen zu er-",[],[],[],[]
"wähnen. Es ist unsere Secretärin, Mlle. Fischmann, ein junges",['Fischmann'],['Secretärin'],[],[]
"19jähriges Mädchen, welches für sich, allein hundert Subscriptionen",[],[],[],[]
"für die Bank zustande gebracht hat. Ein Verein, der aus",[],[],[],[]
"60 jungen, armen Fabriksarbeiterinnen besteht, hat selbst",[],[],[],[]
"30 Actien gezeichnet. Die Frauengesellschaften haben gethan, was",[],[],[],[]
"sie thun konnten, und ich hoffe, es wird noch besser werden.",[],[],[],[]
"Aber ich will, dass unser bescheidenes Beispiel unsern Schwestern",[],[],[],[]
"in Europa zum Ansporn gereichen möge, dass sie trotz aller",[],"['Europa', 'Ansporn']",[],['Europa']
"Schwierigkeiten, welche sich ihnen entgegenstellen, nicht ver-",[],['Schwierigkeiten'],[],[]
"gessen sollen, ihren Eifer zu verdoppeln und ihr Möglichstes zu",[],[],['gessen'],[]
"thun, um unserm Werke zu dienen. Wir sind die Depositeure der",[],['Depositeure'],[],[]
"Familie. Wir müssen machen was wir können, um unseren",[],[],[],[]
"Armen zu helfen, damit später, wenn man die Geschichte Israels",[],['Israels'],[],[]
4,[],[],[],[]
—,[],[],[],[]
50,[],[],[],[]
"schreibt, auch unsere Namen in goldenen Lettern darin ver¬",[],[],[],[]
"zeichnet erscheinen. (Tosender, langanhaltender Beifall.)",[],[],[],[]
Vors. Dr. Nordau: Die Liste der vorgemerkten Redner ist noch,['Dr. Nordau'],['Vors.'],[],[]
lange. Die vorgerückte Stunde gestattet nicht im entferntesten die,[],[],[],[]
"Möglichkeit, diese Liste heute zu erschöpfen. Wir müssen die Fort¬",[],[],[],[]
setzung der Erörterung über den Bericht des Actions-Comités auf,[],[],[],['Actions-Comités']
morgen vertagen. Nur zu einer kurzen Bemerkung ertheile ich Herrn,['Herrn'],[],['ertheile'],[]
Dr. Kohan-Bernstein das Wort.,['Dr. Kohan-Bernstein'],[],[],[]
Del. Dr. Kohan-Bernstein (Stürmisch acclamiert): Ich will nur,"['Del', 'Dr. Kohan-Bernstein']",[],['Del.'],[]
eine kurze Erklärung der geehrten Versammlung geben. Wir in,[],[],[],[]
"Russland sind gewohnt, uns einer strengen Disciplin zu fügen. Da",[],"['Russland', 'Disciplin']",[],['Russland']
"es im grossen Actions-Comité beschlossen wurde, Specialberichte",[],[],[],[]
"über die verschiedenen Länder nicht zu geben, sondern nur einen",[],[],[],[]
"allgemeinen Bericht zu erstatten, habe ich hier keinen Bericht",[],[],[],[]
vorzutragen. Nur einige Worte über die Thätigkeit in Russland,[],['Russland'],[],[]
will ich sagen.,[],[],[],[]
Ein genau und detailliert ausgearbeiteter Specialbericht,[],[],[],[]
wurde aus Russland mitgebracht und wird den russischen,[],['Russland'],[],['Russland']
Lands¬,[],[],[],[]
"leuten, die sich dafür interessieren, nach dem Congresse vorgelesen",[],[],[],['Congresse vorgelesen']
werden.,[],[],[],[]
dass,[],[],[],[]
"Es wurde hier als besonderes Verdienst hervorgehoben,",[],[],[],[]
"in England, ohne einen Pfennig für Kosten zu verwenden.",[],['England'],[],['England']
das,[],[],[],[]
ganze Geld zurückgeschickt wurde. Weiters steht aber im Cassa¬,[],"['Geld', 'Weiters', 'Cassa¬']",[],[]
"berichte, dass für Russland 28.000 Francs für die Agitation ver-",[],['Russland'],[],['Russland']
"wendet wurden. Ich glaube nun, es wäre von mir als einem der",[],[],[],[]
"Vorsteher Russlands ein grosser Fehler, wenn ich nicht mittheilen",[],['Russlands'],[],['Russlands']
"würde, warum wir die 28.000 Francs verwendet haben.",[],[],[],[]
"In die Details will ich nicht eingehen, einen ganz genauen",[],[],[],[]
Cassa- und Rechenschaftsbericht werde ich meinen Landsleuten,[],[],[],[]
bei Besprechung der inneren Organisation vortragen. Ich kann,[],[],[],[]
"hier nur das eine sagen, dass in Russland in allen Hinsichten",[],['Russland'],[],['Russland']
gearbeitet wurde. Ich werde hier nicht Städte oder Namen unserer,[],[],[],[]
"jüdischen Brüder besonders hervorheben, die sich um die Bildung",[],[],[],[]
"des einen oder anderen Vereines verdient gemacht haben, obgleich",[],[],[],[]
ich deren Namen Ihnen in grosser Anzahl aufzählen könnte.,[],[],[],[]
(Lebhafter Beifall und Händeklatschen.),[],[],[],[]
Den Kern der ganzen Arbeit bildete bei uns der politische,[],[],[],[]
Zionismus. Das ist die herrschende Stimmung in Russland,[],['Russland'],[],[]
"(Stürmischer Beifall), der sich alle anderen Strömungen fügen",[],[],[],[]
mussten.,[],[],[],[]
Was die Unterstützung der Colonisten in Palästina und der,[],['Palästina'],[],['Palästina']
"verschiedenen Colonisationsvereine anlangt, haben wir beschlossen,",[],[],[],[]
"obgleich wir nicht ganz im klaren darüber sind, ob man auf der",[],['obgleich'],[],[]
anderen Seite uns gegenüber auch so freundschaftlich gesinnt ist,[],[],[],[]
"und haben auch nicht einen Moment aufgehört, für die Colonisations¬",[],[],[],[]
"vereine zu arbeiten. Wir erwarten, wenn wir auf diesem ver¬",[],[],[],[]
51,[],[],[],[]
—,[],[],[],[]
"söhnenden Standpunkte stehen, diese Leute allmählich doch ganz",[],[],[],[]
für uns zu gewinnen.,[],[],[],[]
Endlich wird auch in jüdisch-cultureller Richtung bei uns,['Endlich'],[],[],['jüdisch-cultureller']
"im Volke und in der Intelligenz gearbeitet, das Volk wird europäisiert.",[],[],[],[]
(Stürmischer Beifall.),[],[],[],[]
In allen drei Richtungen wurde bei uns gearbeitet und dabei,[],[],[],[]
"einem Gedanken Folge geleistet, der am ersten und zweiten",[],[],[],[]
russischen Delegiertentage und auf verschiedenen Versammlungen,[],['russischen Delegiertentage'],[],[]
"ausgesprochen wurde, und zwar wurde in friedlicher, freundschaft¬",[],[],[],[]
licher Weise gearbeitet.,[],[],[],[]
"Nur noch eines. Wenn ich von Colonisationsvereinen spreche,",[],[],[],[]
meine ich ausschliesslich den grossen Odessaer Colonisationsverein,[],[],[],['Odessaer Colonisationsverein']
oder dergleichen. Wir sagen uns jedenfalls ganz los von den,[],[],[],[]
"Schmuggelzionisten, von den Colonisationszionisten, von der ge¬",[],[],[],[]
salzenen Compagnie. (Lebhafter Beifall und Händeklatschen.),[],[],[],[]
Del. Gewitsch: Unter dem Eindrucke der glänzenden Rede der,['Del'],[],[],[]
"Prof. Gottheil, die uns alle so mächtig bewegt hat, möchte",['Prof. Gottheil'],[],[],[]
Frau,[],[],[],[]
"ich beantragen, dass zum Zeichen der Erkenntlichkeit des Congresses",[],[],[],[]
für ihre Thätigkeit in Bezug auf die Ausbreitung der zionistischen Be¬,[],[],[],[]
wegung in Frauenkreisen diese Rede in Druck gelegt und an alle,[],[],[],['Frauenkreisen']
"zionistischen Frauenvereine versendet werde, da das Congressprotokoll",[],[],[],[]
selbst nicht in alle Kreise dringt. (Lebhafter Beifall und Hände¬,['Hände¬'],[],[],[]
klatschen.),[],['klatschen.'],[],[]
"Vors. Dr. Nordau: Wer für diesen Antrag ist, möge die Hand er¬",['Dr. Nordau'],['Vors.'],[],[]
(Nach einer Pause):,[],[],[],[]
(Geschieht.) Ich bitte um die Gegenprobe.,[],['Geschieht'],[],[]
heben.,[],[],[],[]
Der,[],[],[],[]
Antrag ist einstimmig angenommen.,[],[],[],[]
Ich schreite zum Schluss der Sitzung.,[],[],[],[]
10 Uhr vor¬,[],[],[],[]
"Die nächste Sitzung findet morgen,",[],[],[],[]
mit,[],[],[],[]
ags statt.,[],[],[],[]
"Ich erlaube mir mitzutheilen, dass heute um ½10 Uhr Sitzungen",[],[],[],[]
der Ausschüsse im grossen Saale stattfinden.,[],[],[],['grossen Saale']
Del. Prof. Gottheil: Meine Damen und Herren! Wie uns bekannt,"['Del', 'Prof. Gottheil']",[],[],[]
"ist, befindet sich unter den Delegierten auch eine Anzahl von Brüdern",[],[],[],[]
"des Ordens Bnei-brith, sowie auch die Präsidenten einiger Logen. Da",['Bnei-brith'],[],[],[]
"wir nun den Wunsch haben, mit diesen Brüdern eine vertrauliche Be¬",[],[],[],[]
"sprechung über die Stellung zum Zionismus abzuhalten, so bitte ich",[],[],[],[]
"alle Brüder des Ordens Bnei-brith, heute um 8 Uhr abends zu er¬",['Bnei-brith'],[],[],[]
scheinen.,[],[],[],[]
Vors. Dr. Nordau: Die Sitzung ist geschlossen. (Schluss der,['Dr. Nordau'],['Vors.'],[],[]
Sitzung 7 Uhr.),[],[],[],[]
4,[],[],[],[]
52 —,[],[],[],[]
II. Tag.,[],[],[],[]
16. August 1899.,[],[],[],[]
Vormittagssitzung.,[],[],[],[]
Beginn : 10 Uhr 45 Min.,[],['Beginn'],[],[]
"Vorsitzende: Dr. Herzl, Dr. Mandelstamm.","['Dr. Herzl', 'Dr. Mandelstamm']",[],[],[]
"Vors. Dr. Herzl: Zunächst habe ich mitzutheilen, dass sich die Aus¬",['Dr. Herzl'],['Vors.'],[],[]
"schüsse gestern constituiert haben, und ich nehme an, dass die Mit¬",[],[],['constituiert'],[]
glieder der Commissionen sich bereits überall zusammengefunden haben.,[],[],[],['Commissionen']
"Ich glaube nicht, dass es nothwendig ist, diesbezüglich irgend eine Mit-",[],[],[],[]
theilung zu machen. Sollte aber einer der Herren in irgendeiner Frage,[],['Sollte'],[],[]
"nicht informiert sein, so möge er sich an das Bureau wenden.",[],[],[],[]
Ich muss noch eine Entschuldigung wegen des Fernbleibens unseres,[],['Fernbleibens'],[],[]
verehrten Comitémitgliedes Ellmann aus Braila zur Kenntnis bringen.,[],['Braila'],['Comitémitgliedes Ellmann'],['Braila']
"Er ist ein eifriges Mitglied des Comités, aber leider heuer durch seinen",[],[],[],[]
gesundheitlichen Zustand verhindert zu kommen. Wir bedauern dies alle,[],['Zustand'],[],[]
gewiss lebhaft.,[],[],[],[]
"Weiter obliegt mir die traurige Pflicht, Mittheilung zu machen",[],[],[],[]
von dem Tode einiger unserer Mitarbeiter (Die Versammlung er-,[],[],[],[]
"hebt sich), deren Hintritt wir in diesem Jahre zu beklagen haben.",[],[],[],[]
"Es ist dies vor allem der Rabbiner Cassmann in Ripnitza, sehr",['Cassmann'],['Ripnitza'],['Cassmann'],[]
"beliebt durch die Vorträge, welche er im Interesse der zionistischen",[],['Interesse'],[],[]
Sache gehalten hat. Er wirkte besonders anregend und aneifernd,[],[],[],[]
auf die Jugend.,[],[],[],[]
Ferner ist Herr Schächter aus Itzkany mit Tod ab¬,['Herr Schächter'],['Itzkany'],[],['Itzkany']
"gegangen, ebenfalls ein vortrefflicher Zionist. Er besitzt zwei Söhne,",[],[],[],[]
"die wir ebenfalls zu unseren Anhängern zählen dürfen, und von",[],[],[],[]
"denen der eine Colonist in dem Heiligen Lande ist, während der",[],[],[],['Heiligen Lande']
andere sehr viel für die Propaganda in seiner Heimat thut.,[],['thut'],[],[]
Dr. Stern in Bukarest ist in jugendlichem Alter gestorben. Er,['Dr. Stern'],['Bukarest'],[],['Bukarest']
ist einer der eifrigsten Zionisten gewesen und hat insbesondere in,[],[],[],[]
.,[],[],[],[]
53,[],[],[],[]
Studentenkreisen sehr viel für unsere Idee geleistet. Wir beklagen,[],[],[],[]
endlich den Tod des Herrn Josef Eisenstatt aus Charkow,['Herrn Josef Eisenstatt'],['Charkow'],['Josef Eisenstatt'],[]
der gleichfalls ein eifriger Propagator unserer Idee gewesen ist. Sie,['Idee'],[],[],[]
"haben, hochverehrte Versammlung, schon durch das Erheben von",['Erheben von'],[],[],[]
"den Sitzen gezeigt, wie sehr wir den Verlust dieser Mitarbeiter",[],[],[],[]
"beklagen, und ich glaube, wir werden der Trauer um die Dahin",[],[],[],[]
geschiedenen im Protokolle einen entsprechenden Ausdruck geben,[],[],[],[]
dürfen.,[],[],[],[]
Ich habe nun im Anhange an die gestrigen Mittheilungen den,[],[],[],[]
neuen,[],[],[],[]
Einlauf zu verlesen. (Siehe Anhang.),['Siehe Anhang'],['Einlauf'],[],[]
"Ich mache die Congressmitglieder darauf aufmerksam, dass im",[],[],[],[]
Zimmer hinter dem Sitzungssaale ein Reliefplan von Palästina zur Be-,[],['Palästina'],[],['Palästina']
ung empfohlen wird.,[],[],[],[]
sichtig,[],[],[],[]
Wir werden jetzt in die Fortsetzung der Discussion über,[],[],[],[]
den,[],[],[],[]
Rechenschaftsbericht eingehen. Der Cassabericht wird,[],[],[],[]
in kurzer Zeit hier sein und während der Sitzung unter die Herren Mit¬,[],[],[],[]
glieder vertheilt werden.,[],[],[],[]
—,[],[],[],[]
"Lebhafter,",[],[],[],[]
(Prof. Dr. Mandelstamm übernimmt den Vorsitz.,['Prof. Dr. Mandelstamm'],[],['Mandelstamm'],[]
andauernder Beifall und Händeklatschen.),[],[],[],[]
Vors. Dr. Mandelstamm: Hochverehrte Versammlung! Indem ich,['Dr. Mandelstamm'],['Vors.'],[],[]
"dankend für den freundlichen Empfang das Präsidium übernehme, er¬",[],[],[],[]
theile ich das Wort dem Herrn Dr. Menzel.,['Herrn Dr. Menzel'],[],"['theile', 'Dr. Menzel.']",[]
Del. Dr. Menzel: Geehrte Congressmitglieder! Ich bitte Sie zu¬,"['Del', 'Dr. Menzel']",[],['Del.'],[]
"nächst, die beruhigende Versicherung entgegenzunehmen, dass ich als",[],[],[],[]
"Generalredner aller galizischen und bukowinensischen Delegierten spreche,",[],[],['Generalredner'],[]
dass Sie daher Scenen wie im Vorjahre von unserer Seite nicht zu ge¬,[],[],[],[]
"wärtigen haben, und dass Sie daraus alle ersehen können, dass wir ge¬",[],[],[],[]
"willt sind, mit Ihnen hier im Plenum und in den Ausschüssen fleissig",[],[],[],[]
mitzuarbeiten. (Lebhafter Beifall und Händeklatschen.),[],[],[],[]
"Geehrte Anwesende! Wenn ich diese Erklärung abgegeben habe,",[],[],[],[]
"so will ich damit nicht sagen, dass wir gar keine Wünsche haben, oder",[],[],[],[]
"dass wir gewillt sind, unsere Wünsche hier zurückzustellen. Im Gegen¬",['Gegen¬'],[],[],[]
"theile, wir wollen denselben recht kräftigen Ausdruck geben, weil wir",[],[],[],[]
"der Ansicht sind, dass, wenn irgendwo ein Land rascher und ausgiebiger",[],[],[],[]
"Hilfe bedarf, es gerade Galizien ist. Es wurde Ihnen hier von russischer",[],['Galizien'],[],['Galizien']
geschildert. Ich,[],[],[],[]
und rumänischer Seite das grosse Elend jener Länder,[],[],[],[]
—,[],[],[],[]
denn ich kenne,[],[],[],[]
kann Ihnen aber aus eigener Wahrnehmung sagen,[],[],[],[]
—,[],[],[],[]
"Galizien, aber auch Russland und Rumänien",[],"['Galizien', 'Russland', 'Rumänien']",[],['Russland']
dass Russland und,[],['Russland'],[],['Russland']
"Rumänien ein reines Eldorado sind gegenüber dem Elende, das in",[],['Rumänien'],[],['Rumänien']
diesem langgestreckten Lande im Osten herrscht. (Bewegung.,[],[],[],[]
"Es gibt in der ganzen Welt kein Proletariat, das so leidet, ver-",[],[],[],[]
"kümmert und hinsicht, wie das jüdische Proletariat in Galizien. Wer",[],['Galizien'],[],[]
"weiss, wie dieses Proletariat darben und leiden muss, ohne irgendwelche",[],[],[],[]
"geistige Nahrung dahinleben muss, der müsste ein Herz von Stein haben.",['Stein'],[],['Stein'],[]
um nicht angesichts dieses Elendes ein bisschen Begeisterung,[],[],[],[]
für,[],[],[],[]
unsere Sache zu gewinnen. (Lebhafter Beifall und Händeklatschen.),[],[],[],[]
Ich wende mich darum an das Actions-Comité mit der dringenden,[],[],[],[]
"Bitte, dass es uns nicht wie im Vorjahre stiefmütterlich behandle. Ich",['Bitte'],[],[],[]
"kann dem Actions-Comité den Vorwurf nicht ersparen, dass es manches",[],[],[],[]
"unterlassen hat, was es für Galizien hätte thun können. Ich weiss,",[],['Galizien'],[],['Galizien']
worauf das zurückzuführen ist. Es war immer ein Zankapfel in der,[],[],[],[]
"galizischen Bewegung, dass gewisse Unterströmungen geherrscht haben.",[],[],[],[]
"Das Actions-Comité hat aber auch gewusst, dass in Ostgalizien und in",[],['Ostgalizien'],[],['Ostgalizien']
der Bukowina eine Reihe von begeisterten Männern ihm zur Verfügung,[],['Bukowina'],[],['Bukowina']
54,[],[],[],[]
"steht, die gerne jedem Rufe folgen, die ihm immer und überall folgen",[],[],[],[]
"werden, wenn Sie ihnen nur, was dringend noththut, die genügende",[],[],[],[]
Unterstützung angedeihen lassen werden. (Lebhafter Beifall und Hände¬,['Hände¬'],[],[],[]
klatschen.),[],['klatschen.'],[],[]
Ich habe beispielsweise,[],[],[],[]
"mich zu beklagen, dass bezüglich der",[],[],[],[]
Presse für uns ziemlich wenig gethan wird. Unser gewiss grossartiges,[],[],[],[]
Parteiorgan die „Welt“ wird von der grossen Masse der Bevölkerung,[],['Parteiorgan'],[],[]
"in Galizien nicht verstanden. Die Leute besitzen kein Organ, das bei",[],['Galizien'],[],['Galizien']
"ihnen im Lande erscheint, das auch für sie die localen Angelegenheiten",[],[],[],[]
in entsprechender Weise behandelt und das sie langsam und sicher,[],[],[],[]
zum Zionismus hinüber führt. Die theoretischen Erörterungen der,[],[],[],[]
„Welt“ sind unserer Bevölkerung einfach unverständlich und das,[],[],[],[]
"Actions-Comité hätte darauf seine Aufmerksamkeit lenken müssen, für",[],[],['Actions-Comité'],[]
"Galizien und die Bukowina Organe zu schaffen oder zu unterstützen,",[],"['Galizien', 'Bukowina']",[],"['Galizien', 'Bukowina']"
"welche in der Lage wären, täglich oder wenigstens wöchentlich die",[],[],[],[]
"Juden in Galizien über den Zionismus zu belehren. Ich erinnere mich,",[],['Galizien'],[],['Galizien']
"dass, als wir die Subscription begannen, wir uns nach Wien wandten,",[],['Wien'],[],['Wien']
"man möge uns einen Agitationsredner herunter senden, dass sehr viel",[],[],['Agitationsredner'],[]
"geleistet werden könnte, wenn wir eine derartige Kraft, mit der nöthigen",[],[],[],[]
"Autorität ausgestattet, bei uns hätten. Wir, die wir uns in den Dienst",[],[],[],[]
"unserer Sache gestellt haben, sind einerseits auch Berufsmenschen,",[],['Berufsmenschen'],[],[]
"denen es nicht gestattet ist, überall und immer wieder zur Verfügung",[],[],[],[]
"zu stehen, andererseits aber haben wir uns auch schon ein bisschen ab¬",[],[],[],[]
"genützt. Wir sprechen täglich, wöchentlich, monatlich, unsere Namen",[],['monatlich'],[],[]
"figurieren in allen Zeitungen, auf Placaten u. s. w. und es ist daher",[],[],['Placaten'],[]
"kein Wunder, dass einer, wenn er auch über etwas mehr Suade verfügt",[],['Suade'],[],[]
"und auch einen grossen Anhang hat, mit der Zeit doch nicht mehr so",[],[],[],[]
"zieht. Es ist bei uns eine Judenschaft, die intelligent ist und leicht für",[],[],[],[]
"die Sache gewonnen werden könnte, die von gewissen lächerlichen",[],[],[],[]
Assimilationsgedanken bereits glücklich befreit ist. Wenn wir uns aber,[],[],['Assimilationsgedanken'],[]
"mit solchen Begehren an das Actions-Comité wandten, so war die",[],[],[],[]
"Antwort: „Wir bedauern, wir haben selbst für uns zu viel zu thun",[],[],[],[]
"Hochverehrte Herren! Wien ist gewiss ein Punkt, der verdient,",[],"['Hochverehrte Herren', 'Wien']",[],[]
erobert zu werden. Es sind ja über 100.000 Juden in Wien.,[],['Wien'],[],['Wien']
Vergessen,[],[],[],[]
"Sie aber nicht, dass das Schwergewicht unserer Bewegung im Osten",[],[],[],[]
"liegt und dass immer an diejenigen gedacht werden muss, die im Osten",[],[],[],[]
"im grössten Elende, in der bittersten Noth, in einem wahren Massenelende",[],[],[],[]
"verkümmern, das sich nicht schildern lässt.",[],[],[],[]
Ich habe dem Actions-Comité aber auch vorzuwerfen,[],[],[],[]
ich ge¬,[],[],[],[]
"brauche absichtlich diese scharfen Ausdrücke, damit man nicht sage.",[],[],[],[]
"dass ich irgendwie dem Actions-Comité zuliebe spreche,",[],[],[],[]
weil ich,[],[],[],[]
"beabsichtige, zum Schlusse meiner Ausführung",[],[],[],[]
—,[],[],[],[]
das kann,[],[],[],[]
ich zur,[],[],[],[]
Beruhigung des Actions-Comités schon jetzt verrathen,[],[],[],[]
ein Ver¬,[],[],[],[]
trauensvotum für dasselbe zu beantragen —,[],[],[],[]
ich habe also dem Actions¬,[],[],[],[]
"Comité vorzuwerfen, dass es für die Organisation im Lande ziemlich",[],[],[],[]
wenig gethan hat. Die ostgalizischen Zionisten haben zwar gehörig,[],[],[],[]
"gearbeitet, aber der Verband zwischen den einzelnen Gruppen einerseits,",[],[],[],[]
"zwischen Galizien und Bukowina, die enge bei einander liegen, anderer¬",[],"['Galizien', 'Bukowina']",[],['Galizien']
"seits ist viel zu locker, als dass man sagen könnte, es",[],[],[],[]
ist wirklich,[],[],[],[]
eine festgefügte in alles hineinreichende Organisation. Es ist das ein,[],[],[],[]
"Arbeiten bei uns auf eigene Faust. Wenn ich in der Welt lese,",[],[],[],[]
Dr. Herz ist nach London oder Berlin gefahren —,['Dr. Herz'],"['London', 'Berlin']",[],"['London', 'Berlin']"
si licet parva,[],[],[],[]
componere cum magnis,[],[],[],[]
—,[],[],[],[]
da mache ich eine Reise vom Bojan nach,[],['Bojan'],[],[]
Sadagura oder irgend wohin und halte dort meine Agitationsrede. Man,[],['Sadagura'],[],['Sadagura']
"greift eben zu der nächsten Gelegenheit, wo man glaubt, etwas thun zu",[],[],[],[]
können. Von einem festen planmässigen Arbeiten kann unter solchen,[],[],[],[]
Umständen keine Rede sein. Galizien und die Bukowina haben zu¬,[],"['Galizien', 'Bukowina']",[],"['Galizien', 'Bukowina']"
55,[],[],[],[]
"sammen eine Million Juden, die noch ziemlich zähe am alten Glauben",[],[],[],[]
"festhalten, die im Herzen durchwegs Zionisten sind. Wenn hier von",[],[],[],[]
"hochgeehrter Seite gesagt wurde, es gehöre nur ein fester Volkswille",[],[],[],[]
"dazu, um das zionistische Ziel zu erreichen, so kann ich sagen, dieser",[],[],[],[]
Volkswille ist in Galizien und der Bukowina vorhanden.,[],"['Galizien', 'Bukowina']",['Volkswille'],"['Galizien', 'Bukowina']"
"Die Leute warten mit einer Sehnsucht darauf, die ich nicht schil¬",[],[],[],[]
"dern kann, dass sie hinausziehen aus dem Schmerz, dem Jammer, der",[],[],[],['dern']
"Verkommenheit, mit einer Sehnsucht, die man rasch benützen muss.",[],[],[],[]
"Denn ich fürchte, es wird die Zeit kommen, wo die Leute so abge¬",[],[],[],[]
"stumpft sein werden, dass sie nicht für eine physische oder geistige",['stumpft'],[],[],[]
"Thätigkeit, noch auch für eine Herzensbegeisterung zu haben sein",[],[],[],[]
werden. (Lebhafter Beifall.) Vor zwei Jahren reiste ich eines Tages nach,[],[],[],[]
"Zaleszczyki hinaus, einem Städtchen am Dniestr. In einigen Minuten",[],"['Zaleszczyki', 'Dniestr']",['Zaleszczyki'],['Dniestr.']
"hatte sich der Ruf verbreitet, ein Zionist ist da, um einen Vortrag zu",[],[],[],[]
halten. Da trat auf mich ein galizischer Wasserträger zu. Wer einen,[],[],[],[]
"solchen galizischen Wasserträger gesehen, weiss, wenn ich damit meine,",[],[],[],[]
"Leute, zerlumpt und verkommen, einem Thiere ähnlicher als Menschen.",[],[],[],[]
Er trat also auf mich zu und sagte: Die verrückten Leute in Zaleszczyki,[],['Zaleszczyki'],[],[]
haben eine Wasserleitung gemacht und 30 Leute sind dadurch brotlos,[],[],[],[]
"geworden. (Hört!) Wenn im Westen eine neue Bahn, eine Wasser¬",[],[],[],[]
"leitung, eine elektrische Anlage gebaut wird, so sagt man, es ist ein",[],[],[],[]
Fortschritt in die Stadt gekommen. Dort ist das Entgegengesetzte der,[],[],[],['Stadt']
Fall. Jeder Fortschritt bedeutet dort ein Abbrechen der Existenzmöglich¬,[],[],[],[]
"keit des Judenvolkes. Jede neue Einrichtung trifft dort die Juden, welchen",[],[],[],[]
die Existenz abgeschnitten wird. Wenn in Galizien jährlich 6000 Leute,[],['Galizien'],[],['Galizien']
"an Hungertyphus sterben, wie ein galizischer Publicist, Szczepanowski,",['Szczepanowski'],['Publicist'],[],[]
"ausgerechnet hat, so ist das noch nicht alles. Es gibt dort Leute, die",[],[],[],[]
"dahinsiechen, die man sich scheut, zu berühren, weil etwas von ihnen",[],[],[],[]
"ausgeht, das dem Tode ähnlicher sieht, als dem menschlichen Leben.",[],[],[],[]
(Hört! Hört!),[],[],[],[]
"Aber die Vorwürfe, welche ich gegenüber dem Actions-Comité",[],[],[],[]
"erhoben habe, sollen nicht der Ausdruck unseres richtigen Verhaltens",[],[],[],[]
"gegenüber demselben sein. Ich habe bereits gesagt, das Actions-Comité",[],[],[],[]
"kann trotz der vorgekommenen Strömungen, trotz der Kleinigkeits¬",[],[],[],[]
